Django>=5.1.6
channels>=4.0.0
djangorestframework>=3.14.0
python-dotenv>=1.0.0    # For environment variables
django-debug-toolbar>=4.3.0  # Development debugging
whitenoise>=6.6.0       # Static file serving
gunicorn>=21.2.0        # Production server
pytest-django>=4.8.0    # Testing framework
coverage>=7.4.1         # Test coverage reporting
black>=24.1.1          # Code formatting
flake8>=7.0.0         # Code linting
django-cors-headers>=4.3.1  # CORS support
drf-yasg>=1.21.7       # API documentation
Pillow>=10.2.0         # Image processing
celery>=5.3.6          # Task queue (if needed)
redis>=5.0.1           # For caching and Celery backend
mysqlclient>=2.2.4     # MySQL database adapter
dj-database-url>=2.1.0 # Database URL configuration 
